"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","Coding is important – and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, g… https://t.co/xwlnvxsjKb",FALSE,152836,NA,2017-09-18 20:07:58,TRUE,NA,"909871642423197696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",31746,FALSE,FALSE,NA,NA
"20","Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're gettin… https://t.co/xY0UhBSvqp",FALSE,264812,NA,2017-09-13 14:08:59,TRUE,NA,"907969359695491072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",65940,FALSE,FALSE,NA,NA
"21","We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.",FALSE,1381345,NA,2017-09-11 15:32:51,FALSE,NA,"907265689832103936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",349480,FALSE,FALSE,NA,NA
"22","Proud of these McKinley Tech students—inspiring young minds that make me hopeful about our future. https://t.co/nqYC1mjjTB",FALSE,239044,NA,2017-09-08 21:34:23,FALSE,NA,"906269510231056385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",31836,FALSE,FALSE,NA,NA
"23","Americans always answer the call. https://t.co/SV1jixOExu https://t.co/ktEvL6s89d",FALSE,336335,NA,2017-09-07 23:06:48,FALSE,NA,"905930380783620097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",101820,FALSE,FALSE,NA,NA
"24","To target hopeful young strivers who grew up here is wrong, because they’ve done nothing wrong. My statement: https://t.co/TCxZdld7L4",FALSE,929941,NA,2017-09-05 18:52:01,FALSE,NA,"905141484386750469",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",388694,FALSE,FALSE,NA,NA
"25","Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one… https://t.co/I3RHWyZe31",FALSE,839353,NA,2017-08-27 23:14:23,TRUE,NA,"901946021437206528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",247993,FALSE,FALSE,NA,NA
"26","Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.",FALSE,1626692,NA,2017-08-17 19:15:11,FALSE,NA,"898261944095789056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",322124,FALSE,FALSE,NA,NA
"27","""...For love comes more naturally to the human heart than its opposite."" - Nelson Mandela",FALSE,1416262,"BarackObama",2017-08-13 00:06:39,FALSE,"896523304873238528","896523357272911872","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",414892,FALSE,FALSE,NA,NA
"28","""People must learn to hate, and if they can learn to hate, they can be taught to love...""",FALSE,1587680,"BarackObama",2017-08-13 00:06:27,FALSE,"896523232098078720","896523304873238528","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",501447,FALSE,FALSE,NA,NA
