"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"244","#FashionIcon https://t.co/zvzY2MudLw",FALSE,6807,NA,2016-07-11 19:26:22,FALSE,NA,"752584838318661632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",5217,FALSE,FALSE,NA,NA
"245","CONGRATULATIONS to TIM DUNCAN on a GREAT and SUCCESSFUL career... One of my role models. I wear #21 because of him #TheBigFundamental",FALSE,3956,NA,2016-07-11 19:09:28,FALSE,NA,"752580586078818304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",1208,FALSE,FALSE,NA,NA
"246","Where the **** at? https://t.co/5rRM6qy44J",FALSE,4327,NA,2016-07-09 06:44:06,FALSE,NA,"751668231195258880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",4252,FALSE,FALSE,NA,NA
"247","Immense victoire pour la France.... Ils ont tabass√© les allemands mrd",FALSE,552,NA,2016-07-07 20:54:14,FALSE,NA,"751157401097732097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",429,FALSE,FALSE,NA,NA
"248","Allez Les bleus #EURO2016",FALSE,517,NA,2016-07-07 20:31:57,FALSE,NA,"751151791471882240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",333,FALSE,FALSE,NA,NA
"249","SERGIOOOO...... Welcome to the squad #HalaMadrid  https://t.co/429pjGgSGu",FALSE,1491,NA,2016-07-04 20:32:28,FALSE,NA,"750064756233469952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",1024,FALSE,FALSE,NA,NA
"250","I hate seeing y'all bashing KD.At least he cares about winning more than anything and that deserves some respek. Respect his decision or FOH",FALSE,6242,NA,2016-07-04 20:01:52,FALSE,NA,"750057056938389505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",3553,FALSE,FALSE,NA,NA
"251","I wanna why Ray Allen is trending... Is he going to the Warriors too?",FALSE,2697,NA,2016-07-04 18:54:34,FALSE,NA,"750040118707294209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",1547,FALSE,FALSE,NA,NA
"252","I'm gonna use GSW all day in 2k17.... Fam I wouldn't be surprised if they score 200 pts next year lmao",FALSE,8012,NA,2016-07-04 18:32:59,FALSE,NA,"750034688895582208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",4884,FALSE,FALSE,NA,NA
"253","Thanks to @DestinyTheGame for this custom PlayStation Ì†ΩÌ∏çÌ†ΩÌ∏ç https://t.co/Y60iBCOBC6",FALSE,2383,NA,2016-07-03 19:54:00,FALSE,NA,"749692690795794432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",406,FALSE,FALSE,NA,NA
"254","FRANCE IS ROLLING 4-0.... Allez les bleus #EURO2016",FALSE,326,NA,2016-07-03 19:47:24,FALSE,NA,"749691027607388160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",175,FALSE,FALSE,NA,NA
"255","Donc on assistera √† un FRANCE-ALLEMAGNE..... Bah ouais #EURO2016",FALSE,279,NA,2016-07-03 19:23:36,FALSE,NA,"749685039445729280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",259,FALSE,FALSE,NA,NA
"256","Allez les bleus!!! But I lowkey want Iceland to win #Euro2016 ‚öΩÔ∏è",FALSE,478,NA,2016-07-03 19:02:28,FALSE,NA,"749679719579316226",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",88,FALSE,FALSE,NA,NA
"257","I LOVE FOOTBALL ‚öΩÔ∏è‚öΩÔ∏è‚öΩÔ∏è",FALSE,1217,NA,2016-07-02 21:49:13,FALSE,NA,"749359295192502272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",412,FALSE,FALSE,NA,NA
"258","Just let them fight",FALSE,4197,NA,2016-06-11 03:32:45,FALSE,NA,"741473215697018880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",3847,FALSE,FALSE,NA,NA
"259","Leo Messi with another goal #goat",FALSE,450,NA,2016-06-11 03:22:08,FALSE,NA,"741470544189640704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",184,FALSE,FALSE,NA,NA
"260","Messi with an amazing goal #CopaAmerica",FALSE,339,NA,2016-06-11 03:13:48,FALSE,NA,"741468448958644224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",134,FALSE,FALSE,NA,NA
"261","""On a r√©ussi √† ouvert le score"" Didier Deschamps",FALSE,190,NA,2016-06-10 20:56:55,FALSE,NA,"741373603434889216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",267,FALSE,FALSE,NA,NA
"262","WHAT A GOAL!!!!!",FALSE,844,NA,2016-06-10 20:49:03,FALSE,NA,"741371621072572416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",486,FALSE,FALSE,NA,NA
"263","Allez les bleus!!!!! #EURO2016",FALSE,261,NA,2016-06-10 20:17:51,FALSE,NA,"741363772502249472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",215,FALSE,FALSE,NA,NA
